UNO Synth Pro MIDI Monitor v1.1 State Read
UNO IN: 0: UNO Synth Pro
UNO OUT: 1: UNO Synth Pro
EDITOR OUT/TAP IN: 1: UNO_TAP
EDITOR IN/RETURN OUT: 3: UNO_RETURN
Clock captured: False
Active Sense captured: False
REC	TIME	DIRECTION	TYPE	BYTES	HEX	DECODED
1	10.532203	MONITOR→UNO	SysEx	10	F0 00 21 1A 02 03 37 00 00 F7	SysEx (10 bytes)
2	10.541533	UNO→EDITOR	SysEx	309	F0 00 21 1A 02 03 00 37 00 00 00 06 00 06 00 00 04 00 60 25 00 00 00 01 00 00 00 50 10 00 00 5A 00 14 04 00 40 16 00 5E 00 00 50 05 00 00 00 00 02 5C 09 20 01 00 00 00 00 00 00 00 00 00 00 00 22 00 00 10 1B 00 00 04 01 7C 63 4A 20 00 01 58 0E 00 00 10 20 00 00 64 02 68 01 00 00 00 00 00 02 00 58 20 66 02 5C 0B 70 2E 40 7B 03 10 00 21 56 28 40 52 02 1F 07 74 30 70 04 30 41 0C 0F 1F 00 01 58 20 46 42 0F 40 36 04 08 70 00 00 32 1E 3E 00 02 70 60 00 00 43 00 2C 7B 70 02 5C 00 07 00 10 73 71 03 50 00 07 06 00 20 06 00 1E 0F 1F 00 05 38 30 00 00 32 00 70 79 78 01 48 05 00 03 48 75 20 26 40 66 00 17 48 01 60 03 00 0F 32 01 64 00 00 20 20 01 00 01 7E 7F 7F 03 00 00 00 00 04 00 00 00 00 40 00 29 00 24 11 70 01 40 02 11 02 00 50 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 00 F7	UNO state 309B
3	24.911259	UNO→EDITOR	SysEx	309	F0 00 21 1A 02 03 00 37 00 00 00 06 00 01 00 00 04 00 60 25 00 00 00 01 00 00 00 50 10 00 00 5A 00 14 04 00 40 16 00 5E 00 00 50 05 00 00 00 00 02 5C 09 20 01 00 00 00 00 00 00 00 00 00 00 00 22 00 00 10 1B 00 00 04 01 7C 63 4A 20 00 01 58 0E 00 00 10 20 00 00 64 02 68 01 00 00 00 00 00 02 00 58 20 66 02 5C 0B 70 2E 40 7B 03 10 00 21 56 28 40 52 02 1F 07 74 30 70 04 30 41 0C 0F 1F 00 01 58 20 46 42 0F 40 36 04 08 70 00 00 32 1E 3E 00 02 70 60 00 00 43 00 2C 7B 70 02 5C 00 07 00 10 73 71 03 50 00 07 06 00 20 06 00 1E 0F 1F 00 05 38 30 00 00 32 00 70 79 78 01 48 05 00 03 48 75 20 26 40 66 00 17 48 01 60 03 00 0F 32 01 64 00 00 20 20 01 00 01 7E 7F 7F 03 00 00 00 00 04 00 00 00 00 40 00 29 00 24 11 70 01 40 02 11 02 00 50 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 00 F7	UNO state 309B
4	24.930010	UNO→EDITOR	MIDI	2	C0 01	Program ch 1 01
5	24.930387	UNO→EDITOR	SysEx	12	F0 00 21 1A 02 03 32 00 02 00 02 F7	SysEx (12 bytes)
6	24.993268	UNO→EDITOR	SysEx	305	F0 00 21 1A 02 03 00 29 00 01 00 00 04 00 40 27 00 00 00 01 00 00 00 50 17 00 00 5E 00 00 20 00 36 54 00 6F 76 43 3A 04 00 00 00 00 02 7C 07 00 00 00 00 14 00 00 00 04 00 19 00 64 00 00 00 20 2D 07 3F 04 75 68 73 48 21 00 01 00 03 00 00 00 00 00 00 64 02 00 00 00 00 00 00 2B 00 00 40 40 02 00 32 00 48 01 20 06 00 19 00 08 50 44 00 73 01 28 07 0E 36 60 02 30 41 0C 0F 1F 00 01 58 20 46 42 0F 40 00 00 08 70 00 00 32 1E 3E 00 0A 00 60 00 00 01 00 60 73 71 03 50 00 07 00 10 73 71 03 10 00 07 06 00 58 04 60 12 09 0C 48 07 38 30 00 00 32 00 70 79 78 01 08 40 00 01 48 75 20 26 40 26 00 17 48 01 60 03 00 4F 15 01 64 00 00 10 20 01 01 01 7E 7F 7F 03 00 00 00 00 08 00 10 00 00 40 00 29 00 00 12 10 02 00 05 11 02 00 78 12 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 00 F7	SysEx (305 bytes)
7	25.023286	UNO→EDITOR	SysEx	309	F0 00 21 1A 02 03 00 37 00 00 00 01 00 01 00 00 04 00 40 27 00 00 00 01 00 00 00 50 17 00 00 5E 00 00 20 00 36 54 00 6F 76 43 3A 04 00 00 00 00 02 7C 07 00 00 00 00 14 00 00 00 04 00 19 00 64 00 00 00 20 2D 07 3F 04 75 68 73 48 21 00 01 00 03 00 00 00 00 00 00 64 02 00 00 00 00 00 00 2B 00 00 40 40 02 00 32 00 48 01 20 06 00 19 00 08 50 44 00 73 01 28 07 0E 36 60 02 30 41 0C 0F 1F 00 01 58 20 46 42 0F 40 00 00 08 70 00 00 32 1E 3E 00 0A 00 60 00 00 01 00 60 73 71 03 50 00 07 00 10 73 71 03 10 00 07 06 00 58 04 60 12 09 0C 48 07 38 30 00 00 32 00 70 79 78 01 08 40 00 01 48 75 20 26 40 26 00 17 48 01 60 03 00 4F 15 01 64 00 00 10 20 01 01 01 7E 7F 7F 03 00 00 00 00 08 00 10 00 00 40 00 29 00 00 12 10 02 00 05 11 02 00 78 12 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 00 F7	UNO state 309B
8	25.113309	UNO→EDITOR	SysEx	305	F0 00 21 1A 02 03 00 29 00 01 00 00 04 00 40 27 00 00 00 01 00 00 00 50 17 00 00 5E 00 00 20 00 36 54 00 6F 76 43 3A 04 00 00 00 00 02 7C 07 00 00 00 00 14 00 00 00 04 00 19 00 64 00 00 00 20 2D 07 3F 04 75 68 73 48 21 00 01 00 03 00 00 00 00 00 00 64 02 00 00 00 00 00 00 2B 00 00 40 40 02 00 32 00 48 01 20 06 00 19 00 08 50 44 00 73 01 28 07 0E 36 60 02 30 41 0C 0F 1F 00 01 58 20 46 42 0F 40 00 00 08 70 00 00 32 1E 3E 00 0A 00 60 00 00 01 00 60 73 71 03 50 00 07 00 10 73 71 03 10 00 07 06 00 58 04 60 12 09 0C 48 07 38 30 00 00 32 00 70 79 78 01 08 40 00 01 48 75 20 26 40 26 00 17 48 01 60 03 00 4F 15 01 64 00 00 10 20 01 01 01 7E 7F 7F 03 00 00 00 00 08 00 10 00 00 40 00 29 00 00 12 10 02 00 05 11 02 00 78 12 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 08 00 F7	SysEx (305 bytes)
9	25.121226	UNO→EDITOR	SysEx	204	F0 00 21 1A 02 03 00 29 00 01 01 28 56 09 78 7F 7F 7F 7F 7F 7F 3F 78 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 0F 14 5F 04 7C 7F 7F 7F 7F 7F 7F 5F 7C 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 67 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 3F 50 24 0B 70 7F 7F 7F 7F 7F 7F 7F 73 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 1F 26 2A 09 78 7F 7F 7F 7F 7F 7F 7F 41 42 6C 40 7F 7F 7F 7F 7F 7F 7F 43 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 20 49 16 60 7F 7F 7F 7F 7F 7F 7F 65 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 3F 7E 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 73 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 1F 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 79 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 4F 52 05 00 00 00 00 00 00 00 F7	SysEx (204 bytes)
10	25.131258	UNO→EDITOR	SysEx	223	F0 00 21 1A 02 03 00 29 00 01 02 28 52 05 78 7F 7F 7F 7F 7F 7F 7F 79 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 0F 14 64 04 7C 7F 7F 7F 7F 7F 7F 5F 7C 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 67 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 3F 50 58 0B 70 7F 7F 7F 7F 7F 7F 7F 73 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 1F 26 52 09 78 7F 7F 7F 7F 7F 7F 7F 40 72 6B 40 7F 7F 7F 7F 7F 7F 7F 43 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 20 31 17 60 7F 7F 7F 7F 7F 7F 7F 63 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 3F 56 50 3B 70 7F 7F 7F 7F 7F 7F 7F 73 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 1F 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 79 7F 7F 7F 7F 7F 7F 7F 7F 7F 7F 4F 52 75 01 00 00 00 00 00 00 1D 02 00 70 61 23 00 00 1E 3E 04 00 60 03 48 00 00 3C 00 F7	SysEx (223 bytes)
